,Tweets,Sentiment,compound_score,Negative_percentage,Neutral_precentage,Positive_percentage,Negative_score,Neutral_score,Positive_score
0," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",positive,0.8552,8.3,43.1,48.5,0.083,0.431,0.485
1,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,0.3597,8.200000000000001,74.8,17.1,0.082,0.748,0.171
2,is cleaning the house for her family who is comming later today..,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
3,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
4,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,negative,-0.6124,31.2,68.8,0.0,0.312,0.688,0.0
5,"the free fillin` app on my ipod is fun, im addicted",positive,0.765,0.0,57.699999999999996,42.3,0.0,0.577,0.423
6,  I`m sorry.,negative,-0.0772,56.49999999999999,43.5,0.0,0.565,0.435,0.0
7,On the way to Malaysia...no internet access to Twit,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,0.5106,0.0,86.4,13.600000000000001,0.0,0.864,0.136
9,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,-0.2732,11.600000000000001,88.4,0.0,0.116,0.884,0.0
10,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
11,i hope unni will make the audition . fighting dahye unni !,positive,0.1759,15.9,63.7,20.3,0.159,0.637,0.203
12, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,positive,0.4404,8.9,73.0,18.099999999999998,0.089,0.73,0.181
13, That`s very funny.  Cute kids.,positive,0.7559,0.0,31.7,68.30000000000001,0.0,0.317,0.683
14," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",positive,0.8591,0.0,64.2,35.8,0.0,0.642,0.358
15,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,-0.0258,24.4,56.99999999999999,18.7,0.244,0.57,0.187
16,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,-0.2244,10.0,90.0,0.0,0.1,0.9,0.0
17,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
18,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
19,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,0.9467,0.0,47.8,52.2,0.0,0.478,0.522
20," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",negative,-0.1255,13.700000000000001,74.7,11.600000000000001,0.137,0.747,0.116
21,im an avid fan of **** magazine and i love your magazines,positive,0.8271,0.0,50.8,49.2,0.0,0.508,0.492
22,MAYDAY?!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
23,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",negative,-0.7784,32.300000000000004,58.099999999999994,9.6,0.323,0.581,0.096
24, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,positive,0.933,0.0,51.6,48.4,0.0,0.516,0.484
25,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
26,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,-0.68,33.6,66.4,0.0,0.336,0.664,0.0
27,:visiting my friendster and facebook,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
28,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",positive,0.1002,7.9,82.69999999999999,9.4,0.079,0.827,0.094
29, which case? I got a new one last week and I`m not thrilled at all with mine.,negative,-0.3412,13.100000000000001,86.9,0.0,0.131,0.869,0.0
30, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,negative,-0.5719,22.2,77.8,0.0,0.222,0.778,0.0
31," also bored at school, its my third freelesson( freistunde )",negative,-0.2732,18.9,81.10000000000001,0.0,0.189,0.811,0.0
32, hm... Both of us I guess...,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
33, it is ****...u have dissappointed me that past few days,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
34, romance zero is funny,positive,0.7579,0.0,23.5,76.5,0.0,0.235,0.765
35, I`d rather do the early run..but I am a morning runner,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
36,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,-0.5256,16.6,83.39999999999999,0.0,0.166,0.834,0.0
37,will be back later.  http://plurk.com/p/rp3k7,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
38,Aw. Torn ace of hearts  #Hunchback,positive,0.5106,19.400000000000002,38.800000000000004,41.699999999999996,0.194,0.388,0.417
39, what fun are you speaking of?,positive,0.5106,0.0,60.199999999999996,39.800000000000004,0.0,0.602,0.398
40,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,-0.0516,26.200000000000003,54.900000000000006,18.9,0.262,0.549,0.189
41, haha yes,positive,0.6908,0.0,0.0,100.0,0.0,0.0,1.0
42,I give in to easily,positive,0.34,0.0,62.5,37.5,0.0,0.625,0.375
43,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,0.891,0.0,69.1,30.9,0.0,0.691,0.309
44,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,-0.5962,35.6,64.4,0.0,0.356,0.644,0.0
